id,city,district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
972,Barcelona,Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,3,106,Yes,exterior, floor 2,417000
973,Barcelona,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Flat,3,147,Yes,exterior, floor 14,960000
974,Barcelona,Ciutat Vella,el Raval,good condition,Flat,2,137,No,exterior,ground floor,370000
975,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,4,256,Yes,exterior,ground floor,1295000
976,Barcelona,Les Corts,Pedralbes,good condition,Penthouse,5,598,Yes,exterior, floor 4,2490000
977,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,1,95,Yes,exterior,ground floor,575000
978,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,2,87,No,exterior,mezzanine,460000
979,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Penthouse,2,100,Yes,exterior, floor 2,649000
980,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,House,5,585,No,exterior,Multiple,2350000
981,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,72,Yes,exterior, floor 6,390000
982,Barcelona,Sarrià-Sant Gervasi,les Tres Torres,good condition,Penthouse,4,555,Yes,exterior, floor 5,2150000
983,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,50,No,exterior,mezzanine,189000
984,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,62,Yes,exterior,mezzanine,235000
985,Barcelona,Nou Barris,Vilapicina i la Torre Llobeta,good condition,Flat,2,56,Yes,exterior, floor 1,295800
986,Barcelona,Horta-Guinardó,Horta,good condition,Terraced,4,197,No,exterior,Multiple,480000
987,Barcelona,Nou Barris,Vilapicina i la Torre Llobeta,good condition,Flat,3,75,Yes,exterior, floor 6,276000
988,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Detached,5,582,No,exterior,Multiple,1690000
989,Barcelona,Sant Andreu,el Congrés i els Indians,good condition,Flat,2,80,Yes,exterior, floor 1,340000
990,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,95,No,exterior, floor 1,345000
991,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,90,Yes,interior, floor 5,350000
992,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,3,95,Yes,exterior, floor 1,299000
993,Barcelona,Eixample,la Sagrada Família,good condition,Flat,2,80,Yes,exterior,mezzanine,255000
994,Barcelona,Les Corts,les Corts,good condition,Flat,3,131,Yes,exterior, floor 3,564900
995,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,2,87,Yes,exterior, floor 1,315000
996,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Penthouse,4,82,Yes,exterior, floor 7,310000
997,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,4,95,Yes,exterior, floor 2,359900
998,Barcelona,Ciutat Vella,el Raval,good condition,Flat,3,63,Yes,exterior, floor 6,235000
999,Barcelona,Sant Andreu,Navas,good condition,Flat,4,93,Yes,exterior, floor 2,329000
1000,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,4,117,Yes,exterior, floor 1,280000
1001,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,100,Yes,exterior, floor 5,300000
1002,Barcelona,Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,4,93,Yes,exterior, floor 6,335000
1003,Barcelona,Eixample,Sant Antoni,good condition,Flat,3,61,Yes,exterior, floor 4,299000
1004,Barcelona,Horta-Guinardó,la Teixonera,good condition,Flat,3,90,No,exterior, floor 2,230000
1005,Barcelona,Horta-Guinardó,Horta,good condition,Flat,3,91,Yes,exterior, floor 1,415000
1006,Barcelona,Sants-Montjuïc,Sants - Badal,good condition,Flat,1,41,No,exterior,ground floor,215000
1007,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,71,Yes,exterior, floor 3,359000
1008,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,1,47,No,exterior,mezzanine,280000
1009,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,91,Yes,exterior, floor 1,690000
1010,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,4,130,Yes,exterior, floor 3,575000
1011,Barcelona,Sant Martí,el Clot,good condition,Flat,3,82,Yes,exterior, floor 3,239900
1012,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,2,55,No,exterior, floor 3,225000
1013,Barcelona,Eixample,Sant Antoni,good condition,Flat,2,81,Yes,exterior, floor 1,420000
1014,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,2,69,Yes,exterior, floor 2,379000
1015,Barcelona,Sant Martí,el Camp de l'Arpa del Clot,good condition,Penthouse,3,130,Yes,exterior, floor 8,435000
1016,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,5,131,Yes,exterior, floor 6,550000
1017,Barcelona,Les Corts,les Corts,good condition,Penthouse,4,139,Yes,exterior, floor 4,840000
1018,Barcelona,Eixample,la Sagrada Família,good condition,Flat,3,73,Yes,exterior, floor 5,300000
1019,Barcelona,Sants-Montjuïc,la Marina de Port,good condition,Flat,3,90,Yes,exterior, floor 6,199000
1020,Barcelona,Horta-Guinardó,Horta,good condition,Flat,4,69,Yes,exterior, floor 3,198000
1021,Barcelona,Sant Andreu,Sant Andreu,good condition,Flat,2,70,Yes,exterior, floor 3,285000
1022,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,250,Yes,exterior,ground floor,1100000
1023,Barcelona,Sant Martí,el Parc i la Llacuna del Poblenou,good condition,Flat,3,131,Yes,exterior, floor 2,260000
1024,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,3,107,Yes,exterior, floor 2,495000
1025,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,3,46,No,exterior, floor 2,195000
1026,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,176,Yes,exterior, floor 4,740000
1027,Barcelona,Sant Martí,el Clot,good condition,Duplex,3,135,Yes,exterior,ground floor,575000
1028,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,72,Yes,interior, floor 6,369000
1029,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,3,70,No,exterior, floor 2,400000
1030,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Duplex,4,221,Yes,exterior, floor 6,1690000
1031,Barcelona,Sant Martí,el Camp de l'Arpa del Clot,good condition,Terraced,3,72,No,exterior,Multiple,295000
1032,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,114,Yes,exterior, floor 5,410000
1033,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,251,Yes,exterior, floor 2,1630000
1034,Barcelona,Eixample,la Sagrada Família,good condition,Duplex,3,121,Yes,exterior,ground floor,595000
1035,Barcelona,Ciutat Vella,el Raval,good condition,Flat,2,55,No,exterior, floor 3,160000
1036,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,4,133,Yes,exterior, floor 5,495000
